date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:00:38	67310/67310	---M-Z	200	added ('OK')	text/html	etag:W/%2266b9a088-106ee%22	https://themewagon.github.io/stocker/index.html	C:/POLINEMA/Project%20RPL/themewagon.github.io/stocker/index.html	(from )
11:00:38	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22672c11f8-239b%22	https://themewagon.github.io/robots.txt		(from )
11:00:40	59305/59305	---MCZ	200	added ('OK')	text/css	etag:W/%22ecd507b3125edc4d2a03aa6ae5d07da9%22	https://use.fontawesome.com/releases/v5.15.4/css/all.css	C:/POLINEMA/Project%20RPL/use.fontawesome.com/releases/v5.15.4/css/all.css	(from https://themewagon.github.io/stocker/index.html)
11:00:40	63666/63666	---MCZ	200	added ('OK')	text/css	etag:W/%22f8b2-v7ZMVELJO4O8jF4rcNGwrm8YAaE%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	C:/POLINEMA/Project%20RPL/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	(from https://themewagon.github.io/stocker/index.html)
11:00:41	2532/2532	---M-Z	200	added ('OK')	text/css	etag:W/%2266b9a088-9e4%22	https://themewagon.github.io/stocker/lib/lightbox/css/lightbox.min.css	C:/POLINEMA/Project%20RPL/themewagon.github.io/stocker/lib/lightbox/css/lightbox.min.css	(from https://themewagon.github.io/stocker/index.html)
11:00:41	16964/16964	---M-Z	200	added ('OK')	text/css	etag:W/%2266b9a088-4244%22	https://themewagon.github.io/stocker/lib/animate/animate.min.css	C:/POLINEMA/Project%20RPL/themewagon.github.io/stocker/lib/animate/animate.min.css	(from https://themewagon.github.io/stocker/index.html)
11:00:41	2936/2936	---M-Z	200	added ('OK')	text/css	etag:W/%2266b9a088-b78%22	https://themewagon.github.io/stocker/lib/owlcarousel/assets/owl.carousel.min.css	C:/POLINEMA/Project%20RPL/themewagon.github.io/stocker/lib/owlcarousel/assets/owl.carousel.min.css	(from https://themewagon.github.io/stocker/index.html)
11:00:41	164612/164612	---M-Z	200	added ('OK')	text/css	etag:W/%2266b9a088-28304%22	https://themewagon.github.io/stocker/css/bootstrap.min.css	C:/POLINEMA/Project%20RPL/themewagon.github.io/stocker/css/bootstrap.min.css	(from https://themewagon.github.io/stocker/index.html)
11:00:41	18942/18942	---M-Z	200	added ('OK')	text/css	etag:W/%2266b9a088-49fe%22	https://themewagon.github.io/stocker/css/style.css	C:/POLINEMA/Project%20RPL/themewagon.github.io/stocker/css/style.css	(from https://themewagon.github.io/stocker/index.html)
11:00:42	28883/28883	---M-Z	200	added ('OK')	text/html	etag:W/%2266b9a088-70d3%22	https://themewagon.github.io/stocker/about.html	C:/POLINEMA/Project%20RPL/themewagon.github.io/stocker/about.html	(from https://themewagon.github.io/stocker/index.html)
11:00:42	29015/29015	---M-Z	200	added ('OK')	text/html	etag:W/%2266b9a088-7157%22	https://themewagon.github.io/stocker/service.html	C:/POLINEMA/Project%20RPL/themewagon.github.io/stocker/service.html	(from https://themewagon.github.io/stocker/index.html)
11:00:42	20722/20722	---M-Z	200	added ('OK')	text/html	etag:W/%2266b9a088-50f2%22	https://themewagon.github.io/stocker/blog.html	C:/POLINEMA/Project%20RPL/themewagon.github.io/stocker/blog.html	(from https://themewagon.github.io/stocker/index.html)
11:00:43	19011/19011	---M-Z	200	added ('OK')	text/html	etag:W/%2266b9a088-4a43%22	https://themewagon.github.io/stocker/feature.html	C:/POLINEMA/Project%20RPL/themewagon.github.io/stocker/feature.html	(from https://themewagon.github.io/stocker/index.html)
11:00:43	21021/21021	---M-Z	200	added ('OK')	text/html	etag:W/%2266b9a088-521d%22	https://themewagon.github.io/stocker/team.html	C:/POLINEMA/Project%20RPL/themewagon.github.io/stocker/team.html	(from https://themewagon.github.io/stocker/index.html)
11:00:43	22622/22622	---M-Z	200	added ('OK')	text/html	etag:W/%2266b9a088-585e%22	https://themewagon.github.io/stocker/testimonial.html	C:/POLINEMA/Project%20RPL/themewagon.github.io/stocker/testimonial.html	(from https://themewagon.github.io/stocker/index.html)
11:00:44	21836/21836	---M-Z	200	added ('OK')	text/html	etag:W/%2266b9a088-554c%22	https://themewagon.github.io/stocker/offer.html	C:/POLINEMA/Project%20RPL/themewagon.github.io/stocker/offer.html	(from https://themewagon.github.io/stocker/index.html)
